id,sede,edad,meses_en_programa,respuesta
1,Bogotá,16,8,Mi mamá nunca se enteró de las reuniones
2,Guayaquil,16,6,Mejoré en ciencias naturales
3,Quito,16,4,Subí mis notas en casi todas las materias
4,Guayaquil,13,10,Mis papás entendieron mejor mi situación después de la reunión con la tutora
5,Bogotá,14,6,asdasd
6,Guayaquil,14,18,"Me gustaría que hubiera más actividades fuera del aula, salidas y esas cosas"
7,Ciudad de México,14,18,Deberían hacer más salidas y campamentos
8,Lima,16,12,"Cambiaría los cambios de tutor a mitad de año, desorienta bastante"
9,Bogotá,15,6,El seguimiento individual deberia ser mas frecuente
10,Quito,16,18,"El trato de los educadores es muy bueno, te hablan de igual a igual"
11,Bogotá,16,3,"Lo de orientación llegó muy tarde, cuando ya había que decidir"
12,Ciudad de México,15,8,Aprendi a estudiar sola sin que me esten diciendo
13,Lima,14,4,Excelente el trato humano
14,Lima,16,6,Mejoré mucho la ortografía
15,Bogotá,16,9,"Me ayudó mucho en matemáticas, era la materia que llevaba peor y ahora la apruebo"
16,Guayaquil,17,6,"Ahora participo en clase, antes no levantaba la mano nunca"
17,Ciudad de México,13,6,Deberían hacer talleres también para las familias
18,Lima,17,9,"Hace falta un espacio para comer, muchos venimos directo del colegio sin almorzar"
19,Quito,13,18,Ahora sé decir que no cuando algo no me parece bien
20,Lima,12,24,Es bueno pero podría mejorar
21,Lima,14,24,"El local está bien ubicado, eso es lo bueno"
22,Quito,13,8,Ampliar el programa a todo el año escolar y no solo unos meses
23,Lima,15,9,Sin comentarios
24,Lima,14,18,"Lo académico bien, aunque a veces repetimos cosas que ya vimos en el colegio"
25,Quito,14,10,No hay wifi estable y eso complica las tareas de investigación
26,Bogotá,16,6,El internet no funciona casi nunca
27,Bogotá,16,12,"Necesitamos calculadoras científicas, no todos tenemos"
28,Ciudad de México,16,6,Me ayudó a aceptarme como soy
29,Guayaquil,13,9,Muy buena atención de todo el equipo
30,Guayaquil,15,4,Ya no me da pena preguntar cuando no entiendo algo
31,Lima,16,24,Dos horas no alcanzan para nada
32,Quito,15,18,Estaría bien que informaran más a nuestros papás sobre lo que hacemos
33,Quito,14,3,Prefiero no responder
34,Ciudad de México,16,18,"Me hubiera gustado más acompañamiento en la parte personal, no solo en lo escolar"
35,Ciudad de México,15,12,...
36,Guayaquil,13,3,Me ayudó a valorarme más
37,Ciudad de México,13,9,Hay compañeros que molestan mucho y a veces nadie hace nada
